| No. | Problem Code | Name | Difficulty | Solution |
| :---: | :--- | :--- | :--- | :--- |
| 1 | [`2566_2_Q1_01`](https://drive.google.com/file/d/1ybCeNooMRTp5wFQULhpAp9nw-TCpEhRa/view?usp=sharing) | **Poker Hands** | ★★ | [`Solution`](/GE-Grader-Examination/G6602-Exam-2566-S2) |
| 2 | [`2566_2_Q1_02`](https://drive.google.com/file/d/1Nioh4BjOtLAM-bDEjh4BpvCfbAstMSAc/view?usp=sharing) | **Flowchart** | ★ | [`Solution`](/GE-Grader-Examination/G6602-Exam-2566-S2) |
| 3 | [`2566_2_Q1_03`](https://drive.google.com/file/d/1QM3JjWkZ2QuDEAW3o9mUNCqXGzSTJ0gZ/view?usp=sharing) | **Repeat Count** | ★★ | [`Solution`](/GE-Grader-Examination/G6602-Exam-2566-S2) |
| 4 | [`2566_2_Q2_01`](https://drive.google.com/file/d/1EbQl9iRAR5RYoMG8uj5-foiY2b5J6Ydo/view?usp=sharing) | **Bad Words** | ★☆ | [`Solution`](/GE-Grader-Examination/G6602-Exam-2566-S2) |
| 5 | [`2566_2_Q2_02`](https://drive.google.com/file/d/1i2hhun44grSnF-DZH80CKTKjj4O4ch3m/view?usp=sharing) | **Credit Points** | ★★ | [`Solution`](/GE-Grader-Examination/G6602-Exam-2566-S2) |
| 6 | [`2566_2_Q2_03`](https://drive.google.com/file/d/1ftesAF-xHat6QuRv99XYFy8gNnVN-qKJ/view?usp=sharing) | **Text Formatter** | ★★★ | [`Solution`](/GE-Grader-Examination/G6602-Exam-2566-S2) |
| 7 | [`2566_2_Q3_01`](https://drive.google.com/file/d/1LF2pj8dcpoLBjUNJ0WUCw70FL3cgfXMU/view?usp=sharing) | **Peak 2D** | ★☆ | [`Solution`](/GE-Grader-Examination/G6602-Exam-2566-S2) |
| 8 | [`2566_2_Q3_02`](https://drive.google.com/file/d/1_I8h_pHSZyKAuHf4Xf_KONQZnPnCFmD_/view?usp=sharing) | **Friends** | ★★ | [`Solution`](/GE-Grader-Examination/G6602-Exam-2566-S2) |
| 9 | [`2566_2_Q3_03`](https://drive.google.com/file/d/1Rcox7hJg5OtCnwYM4SuiiLp4fweragxh/view?usp=sharing) | **Hashtag Recommendation** | ★★ | [`Solution`](/GE-Grader-Examination/G6602-Exam-2566-S2) |
